Date	SLLT	STTB	TSLD	TSLX	TSLN
5/02/1991	45	60	13.3374456	13.36956362	13.30599846
5/02/1991	60	90	13.42804658	13.44321993	13.41327127
5/02/1991	90	120	13.99915494	14.01064281	13.98764439
5/02/1991	120	150	14.8625974	14.86974307	14.85538138
5/02/1991	150	180	15.90940596	15.90950747	15.90934535
5/02/1991	180	210	21.99446569	22.00326328	21.98568028
6/02/1991	0	0	17.62612055	12.69707149	22.6257173
6/02/1991	0	5	17.06369641	19.62920659	14.68944831
6/02/1991	5	15	16.17819579	16.47369083	15.8921469
6/02/1991	15	30	14.79020341	14.87204245	14.71463226
6/02/1991	30	45	13.80661155	13.86431716	13.74808797
6/02/1991	45	60	13.40454098	13.43873306	13.37096138
6/02/1991	60	90	13.45969322	13.47590834	13.443875
6/02/1991	90	120	14.02241932	14.03372294	14.0111234
6/02/1991	120	150	14.87710141	14.88409203	14.87004636
6/02/1991	150	180	15.90970003	15.90992516	15.90951362
6/02/1991	180	210	21.97654772	21.98530699	21.96780068
7/02/1991	0	0	18.40938178	13.4990011	24.79013853
7/02/1991	0	5	17.85442483	20.89859466	14.99797744
7/02/1991	5	15	16.4198834	16.8722799	16.0708961
7/02/1991	15	30	14.95261946	15.04946586	14.87657743
7/02/1991	30	45	13.92551592	13.98392854	13.86683138
7/02/1991	45	60	13.47565525	13.51160788	13.44021528
7/02/1991	60	90	13.49347093	13.51072389	13.47660809
7/02/1991	90	120	14.04538424	14.05660326	14.03419771
7/02/1991	120	150	14.89128473	14.89812511	14.88438821
7/02/1991	150	180	15.91024363	15.9105873	15.90993654
7/02/1991	180	210	21.95870823	21.96742903	21.9499997
8/02/1991	0	0	15.04174334	11.13859963	20.41356034
8/02/1991	0	5	15.82662743	17.93553393	13.64127834
8/02/1991	5	15	16.28842425	16.85899208	16.03915007
8/02/1991	15	30	15.11304385	15.13855637	15.05509753
8/02/1991	30	45	14.04693014	14.10411622	13.98653557
8/02/1991	45	60	13.55043457	13.58813807	13.51316792
8/02/1991	60	90	13.52940808	13.54773122	13.51146965
